i,t,subject_nr,mousetype,otherpointer,feedback
1,"2018-08-23 17:51:04",2784271152,standard,"","i would have liked to have a break at like 25. because it was kind of mentally taxing i found i made 1 or 2 mistakes after a while. 
after the first 10 i kinda learned how to reason better. I usually went with the higher pool unless the judgement was really extreme and fitting for the small pool."
2,"2018-08-23 17:56:37",93802165214,standard,"",""
3,"2018-08-23 18:00:34",7377820253,standard,"",""
4,"2018-08-23 18:07:28",39044636415,standard,"",""
5,"2018-08-23 18:08:15",49598825196,standard,"",""
6,"2018-08-23 18:09:39",56106643804,standard,"",""
7,"2018-08-23 18:12:45",55365024268,standard,"","thank you."
8,"2018-08-23 18:13:19",67933537322,standard,"",""
9,"2018-08-23 18:21:12",94140470655,pad,"",""
10,"2018-08-23 18:24:14",73599551636,standard,"",""
11,"2018-08-24 07:27:13","","","",""
12,"2018-08-24 15:17:59",96768268776,standard,"","Very interesting -- "
13,"2018-08-24 15:19:03",13668308839,standard,"",""
14,"2018-08-24 15:25:45",30183507016,standard,"",""
15,"2018-08-24 15:27:36",60648517476,standard,"",""
16,"2018-08-24 15:31:32",23965615722,standard,"",""
17,"2018-08-24 15:36:36",28867730717,standard,"",""
18,"2018-08-24 15:36:37",44218985053,standard,"",""
19,"2018-08-24 15:42:04",22782106321,standard,"",""
20,"2018-08-24 15:44:31",66125685962,standard,"",""
21,"2018-08-24 15:45:53",18052389954,standard,"",""
22,"2018-08-24 15:47:46",37123946900,standard,"",""
23,"2018-08-24 15:51:55",90060471445,standard,"",""
24,"2018-08-24 15:52:39",15100741488,standard,"",""
25,"2018-08-24 15:53:56",81606570736,standard,"",""
26,"2018-08-24 15:54:34",38557502207,standard,"",""
27,"2018-08-24 15:55:25",96163944880,standard,"",""
28,"2018-08-24 15:56:23",99021826355,standard,"",""
29,"2018-08-24 15:57:06",46411272307,standard,"",""
30,"2018-08-24 15:57:10",37635855056,standard,"",""
31,"2018-08-24 15:57:32",37557372647,standard,"",""
32,"2018-08-24 15:57:38",22358987876,standard,"",""
33,"2018-08-24 15:58:03",9901909039,standard,"","I really enjoyed it and it made me challenge the stereotypes i hold"
34,"2018-08-24 15:59:55",45720820299,standard,"",""
35,"2018-08-24 16:00:17",39887004724,standard,"","It seemed as though both answers were correct on the first ""catch""."
36,"2018-08-24 16:01:31",47598519685,standard,"",""
37,"2018-08-24 16:02:38",14429637203,standard,"",""
38,"2018-08-24 16:05:46",3449825501,other,"wireless mouse",""
39,"2018-08-24 16:09:14",32456407295,standard,"",""
40,"2018-08-24 16:10:01",77007502027,standard,"",""
41,"2018-08-24 16:10:06",43588249354,standard,"",""
42,"2018-08-24 16:10:09",89161514589,standard,"",""
43,"2018-08-24 16:13:03",8708860921,standard,"",""
44,"2018-08-24 16:13:20",61625850235,standard,"",""
45,"2018-08-24 16:14:21",79557394321,standard,"",""
46,"2018-08-24 16:14:36",60219880629,standard,"",""
47,"2018-08-24 16:15:01",62192434300,standard,"",""
48,"2018-08-24 16:16:04",6299264685,standard,"",""
49,"2018-08-24 16:22:42",11331524209,standard,"",""
50,"2018-08-24 16:24:32",68468232875,other,"Wireless mouse",""
